key|EBSS_Kr|EBSS_En|EBSS_Beon|EBSS_Esp|EBSS_Deu|EBSS_Idn|EBSS_Tha|EBSS_Fr|EBSS_Gan|EBSS_Rus
1001|기지의 한 구획에서 진행되고 있는 훈련시설의 건설. \n이제 공사가 완료되어 첫선을 보일 날이 찾아 왔다.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.|A training facility that was once underway construction in one side of the secret base.\nNow the time for its unveiling has come to open its doors for the first time.
1002|건물을 뒤덮은 장막을 벗기자, 너무나도 이질적인 외관에 술렁이는 대원들.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.|As the dust-cover that hid the entire building underneath is slowly removed, Goddess Kiss team were quite stirred about its strange alien appearence.
1003|와아아아~~! 대단해 대단해!! \n커다랗고 멋진게 마치 미래에서 온 것 같아!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!|Wow~~! This is so Awesome!! \n Its so big and great, it's like it came from the future!!
1004|평소라면 레나에게 소란피우지 말라고 했겠지만... \n이건 정말이지 엄청 크네...|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.|Normally I would tell Lena not to make a fuss about anything...\nbut, wow. This is something...really huge.
1005|이런건 리프 본부에서도 본 적이 없어요. \n대체 뭘까요?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?|I never saw anything like this even at the R.E.A.P Headquarters. \n What do you make of this?
1006|최신 훈련 시설이라고 들었어.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.|I heard rumors that this was a state of the art, cutting edge training facility.
1007|본부가 이런걸 여신의 키스 부대에?!|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?|What, Headquarters would simply build such a facility for us here at Goddess Kiss, just like that?
1008|분명 본부 사람들도 달링이 짱 우수하다는걸 이제서야 안 거겠지♪ \n정말이지 한참 늦다니까~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~|Well, maybe the Headquarters' people have now realized how our Darling is so experior♪ \nIts about time~
1009|혹시나 그렇다면, 우리도 발큐리아 부대에 견줄 만큼 성장했다는 거겠지.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.|If that's the case, then we could might as well say that we've become more competitive like the Valcuria Troops.
1010|그럼 그렇다고 빨리 말해줘야 운용 방법에 대하여 의논을 할 수 있는데 말이죠. \n이렇게 갑작스러우면|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..|Then they should've told us from the beginning about this, so we can at least discuss about how we can utilize this facility in the first place. \n How are we supposed to do in such short notice..
